message_id,case_ref,case_ref_all,cohort,ticker,windows,author_hash,is_spam,llm_relevance,llm_polarity,llm_intensity,llm_emotion,llm_severity,llm_topic
1000004725213888513,CASE_0495,CASE_0495,archive,JPM,class_period,502a444505f5d8d4,0,tangential,neutral,0,neutral,none,stock_analysis
1000007499574063104,CASE_0514,CASE_0514,archive,ABBV,class_period,223b7e2bb92cddc2,0,tangential,neutral,0,neutral,none,stock_analysis
1000007599679574016,CASE_0505,CASE_0505,archive,PM,post_disclosure,19b738aa1b5d6600,0,tangential,neutral,0,neutral,none,news_reporting
1000007906593595392,CASE_0495,CASE_0495,archive,JPM,class_period,2910317054e14f1b,0,tangential,neutral,0,neutral,none,stock_analysis
1000010062746746882,CASE_0495,CASE_0495,archive,JPM,class_period,1ade08d8c2d94849,0,tangential,neutral,0,neutral,none,stock_analysis
1000010137480892416,CASE_0593,CASE_0593,archive,MAR,class_period,2910317054e14f1b,0,tangential,neutral,0,neutral,none,stock_analysis
1000013295775076352,CASE_0508,CASE_0508,archive,MCHP,class_period,223b7e2bb92cddc2,0,tangential,neutral,0,neutral,none,spam_bot
1000017223950348289,CASE_0472,CASE_0472,archive,RMTI,class_period,32bd266d876500c4,0,relevant,neutral,0,neutral,medium,law_firm_ad
1000021188008034304,CASE_0472,CASE_0472,archive,RMTI,class_period,4075e4b6336c50a7,0,relevant,neutral,0,neutral,medium,law_firm_ad
1000022827930710026,CASE_0472,CASE_0472,archive,RMTI,class_period,b81c43a32a7d0221,0,relevant,neutral,0,neutral,medium,law_firm_ad
1000023241178529798,CASE_0472,CASE_0472,archive,RMTI,class_period,4075e4b6336c50a7,0,relevant,neutral,0,neutral,medium,law_firm_ad
1000024728357122049,CASE_0438,CASE_0438,archive,ORA,post_disclosure,32bd266d876500c4,0,relevant,neutral,-1,neutral,medium,law_firm_ad
1000028261798371328,CASE_0495,CASE_0495,archive,JPM,class_period,502a444505f5d8d4,0,tangential,neutral,0,neutral,none,stock_analysis
1000028592431140871,CASE_0514,CASE_0514,archive,ABBV,class_period,a62ea46c2956e39f,0,tangential,neutral,0,neutral,none,stock_analysis
1000031153762521088,CASE_0470,CASE_0470,archive,HMNY,class_period,f298deb6d8997974,0,relevant,negative,-1,anger,low,general_discussion
1000036725048168454,CASE_0495,CASE_0495,archive,JPM,class_period,a62ea46c2956e39f,0,tangential,neutral,0,neutral,none,stock_analysis
1000040888364609536,CASE_0387,CASE_0387,archive,ESPR,post_disclosure,87db665b3be9be3a,0,relevant,negative,-1,neutral,high,law_firm_ad
1000040915292033025,CASE_0387,CASE_0387,archive,ESPR,post_disclosure,0799458c9158e8b1,0,relevant,negative,-1,neutral,high,law_firm_ad
1000041591241957376,CASE_0387,CASE_0387,archive,ESPR,post_disclosure,87db665b3be9be3a,0,relevant,negative,-1,neutral,high,law_firm_ad
1000041615040409601,CASE_0387,CASE_0387,archive,ESPR,post_disclosure,0799458c9158e8b1,0,relevant,negative,-1,neutral,high,law_firm_ad
1000043341063471104,CASE_0387,CASE_0387,archive,ESPR,post_disclosure,32bd266d876500c4,0,relevant,negative,-1,neutral,high,law_firm_ad
1000044497185787904,CASE_0592,CASE_0592,archive,BA,class_period,223b7e2bb92cddc2,0,spam,neutral,0,neutral,none,spam_bot
1000048864697704448,CASE_0473,CASE_0473,archive,SBGI,class_period,2910317054e14f1b,0,relevant,neutral,0,neutral,none,stock_analysis
1000051392977846272,CASE_0387,CASE_0387,archive,ESPR,post_disclosure,4075e4b6336c50a7,0,relevant,negative,-1,neutral,high,law_firm_ad
1000052949832355841,CASE_0592,CASE_0592,archive,BA,class_period,502a444505f5d8d4,0,spam,neutral,0,neutral,none,spam_bot
