message_id,case_ref,cohort,gold_relevance,gold_polarity,pred_llm_polarity,pred_llm_relevance,pred_llm_intensity,pred_finbert_polarity,pred_finbert_score,pred_lm_polarity,pred_lm_score,pred_roberta_polarity,pred_roberta_score,pred_vader_polarity,pred_vader_score,stratum,sampling_weight
1001536211423580160,CASE_0514,archive,tangential,neutral,neutral,tangential,-1.0,negative,-0.8966725617647171,negative,-0.07142857142857142,neutral,-0.3257265277206898,positive,0.7783,tangential|neutral|archive,166.66666666666666
1001544612291411969,CASE_0592,archive,tangential,neutral,neutral,tangential,0.0,negative,-0.9387977216392756,negative,-0.02631578947368421,negative,-0.5460492502897978,neutral,0.0,tangential|neutral|archive,166.66666666666666
1002282621156642821,CASE_0394,archive,relevant,neutral,neutral,relevant,0.0,negative,-0.6085751447826624,neutral,0.0,neutral,-0.08751042932271957,positive,0.4466,relevant|neutral|archive,168.6
1004097753021059072,CASE_0524,archive,spam,neutral,neutral,spam,0.0,neutral,-0.0080718994140625,neutral,0.0,neutral,0.05604538880288601,positive,0.4466,spam|neutral|archive,166.65116279069767
1005839530035961856,CASE_0439,archive,tangential,neutral,neutral,tangential,0.0,positive,0.8322366699576378,positive,0.029411764705882353,neutral,0.43958373041823506,positive,0.5267,tangential|neutral|archive,166.66666666666666
1006571470284378113,CASE_0536,archive,relevant,neutral,neutral,relevant,0.0,neutral,-0.045208392664790154,neutral,0.0,neutral,-0.3654048964381218,positive,0.4005,relevant|neutral|archive,168.6
1006929095995875329,CASE_0387,archive,relevant,neutral,neutral,relevant,0.0,negative,-0.7992644906044006,negative,-0.02857142857142857,neutral,-0.1079472191631794,positive,0.2577,relevant|neutral|archive,168.6
1007826123756003328,CASE_0439,archive,relevant,neutral,negative,relevant,-1.0,negative,-0.7847711257636547,negative,-0.06521739130434782,negative,-0.5684050796553493,negative,-0.1697,relevant|negative|archive,166.27058823529413
1009480137333723136,CASE_0536,archive,spam,neutral,neutral,spam,0.0,neutral,-0.008969880640506744,neutral,0.0,neutral,0.03550555557012558,positive,0.3612,spam|neutral|archive,166.65116279069767
1009653877119991808,CASE_0536,archive,spam,neutral,neutral,spam,0.0,neutral,-0.037357909604907036,neutral,0.0,neutral,0.12608248740434647,positive,0.3612,spam|neutral|archive,166.65116279069767
1012332795618889734,CASE_0592,archive,relevant,neutral,neutral,tangential,0.0,negative,-0.9638338997028768,negative,-0.06060606060606061,neutral,-0.2862958237528801,positive,0.2023,tangential|neutral|archive,166.66666666666666
1012638566151802880,CASE_0495,archive,tangential,neutral,neutral,tangential,0.0,negative,-0.9594928286969662,negative,-0.02857142857142857,neutral,0.07046636566519737,positive,0.5106,tangential|neutral|archive,166.66666666666666
1012640825132675072,CASE_0495,archive,spam,neutral,neutral,tangential,0.0,neutral,0.01001742109656334,neutral,0.0,neutral,0.08335705380886793,neutral,0.0,tangential|neutral|archive,166.66666666666666
1013377362589872128,CASE_0435,archive,spam,neutral,neutral,spam,0.0,neutral,-0.2839888818562031,neutral,0.0,negative,-0.577243035659194,positive,0.4824,spam|neutral|archive,166.65116279069767
1013988460967878656,CASE_0536,archive,tangential,neutral,neutral,tangential,0.0,neutral,-0.06662316434085369,neutral,0.0,neutral,0.011862717568874359,positive,0.5267,tangential|neutral|archive,166.66666666666666
1015390224501878784,CASE_0689,archive,relevant,neutral,neutral,spam,0.0,neutral,0.33380754571408033,neutral,0.0,positive,0.5301151107996702,positive,0.5994,spam|neutral|archive,166.65116279069767
1017183163624448000,CASE_0459,archive,relevant,neutral,negative,relevant,-1.0,negative,-0.5145297516137362,negative,-0.05,neutral,-0.00048509612679481506,neutral,0.0,relevant|negative|archive,166.27058823529413
1017380879591706624,CASE_0459,archive,relevant,neutral,negative,relevant,-1.0,negative,-0.5842059068381786,negative,-0.05,neutral,-0.013318922370672226,positive,0.0772,relevant|negative|archive,166.27058823529413
1017604757915963392,CASE_0484,archive,relevant,neutral,neutral,relevant,0.0,negative,-0.504869319498539,negative,-0.058823529411764705,neutral,-0.41027343086898327,positive,0.6908,relevant|neutral|archive,168.6
1017963702325334016,CASE_0484,archive,relevant,negative,positive,relevant,1.0,neutral,0.08798902481794357,neutral,0.0,negative,-0.8869491741061211,negative,-0.4215,relevant|positive|archive,163.75
1019245371183259649,CASE_0435,archive,relevant,neutral,negative,relevant,-1.0,neutral,-0.4137200005352497,negative,-0.05,neutral,0.0025919899344444275,positive,0.0772,relevant|negative|archive,166.27058823529413
1019728434736566272,CASE_0484,archive,relevant,positive,positive,relevant,1.0,neutral,0.18399879150092602,neutral,0.0,neutral,0.3046277314424515,positive,0.8197,relevant|positive|archive,163.75
1020380753606135814,CASE_0439,archive,tangential,neutral,neutral,tangential,0.0,positive,0.9281414980068803,neutral,0.0,positive,0.49165688222274184,positive,0.296,tangential|neutral|archive,166.66666666666666
1021181582571442176,CASE_0484,archive,relevant,positive,positive,relevant,1.0,negative,-0.6129161790013313,negative,-0.017857142857142856,negative,-0.6499537108466029,negative,-0.6139,relevant|positive|archive,163.75
1021468505865162757,CASE_0484,archive,tangential,neutral,neutral,tangential,0.0,neutral,-0.17844889871776104,neutral,0.0,negative,-0.7516527622938156,neutral,0.0,tangential|neutral|archive,166.66666666666666
1021512279836254208,CASE_0484,archive,relevant,negative,negative,relevant,-2.0,negative,-0.4845992252230644,negative,-0.03225806451612903,negative,-0.8717664992436767,negative,-0.8668,relevant|negative|archive,166.27058823529413
1021630080903258117,CASE_0484,archive,tangential,negative,negative,spam,-2.0,neutral,-0.272206200286746,negative,-0.03571428571428571,negative,-0.902873435523361,negative,-0.1885,spam|negative|archive,168.85714285714286
1022561381105721350,CASE_0490,archive,relevant,neutral,negative,relevant,-1.0,negative,-0.854941800236702,negative,-0.05405405405405406,neutral,-0.21295937709510326,neutral,0.0,relevant|negative|archive,166.27058823529413
1022729165307629569,CASE_0514,archive,relevant,neutral,negative,relevant,-1.0,negative,-0.5809198636561632,negative,-0.0625,neutral,-0.03459164872765541,neutral,0.0,relevant|negative|archive,166.27058823529413
1024316687586222080,CASE_0478,archive,relevant,negative,negative,relevant,-1.0,neutral,-0.20392221957445145,negative,-0.09090909090909091,neutral,-0.06150607764720917,positive,0.3818,relevant|negative|archive,166.27058823529413
1024358894976548864,CASE_0490,archive,relevant,neutral,negative,relevant,-1.0,neutral,-0.14248380064964294,negative,-0.05263157894736842,neutral,-0.17035507783293724,positive,0.6289,relevant|negative|archive,166.27058823529413
1024413401060139008,CASE_0484,archive,relevant,negative,negative,relevant,-2.0,neutral,-0.18639595992863178,negative,-0.02564102564102564,neutral,-0.3058478720486164,negative,-0.3182,relevant|negative|archive,166.27058823529413
1024667438850498566,CASE_0484,archive,relevant,neutral,neutral,relevant,0.0,neutral,-0.4289375748485327,negative,-0.16666666666666666,negative,-0.6158994324505329,negative,-0.7579,relevant|neutral|archive,168.6
1024772897347383296,CASE_0484,archive,relevant,positive,positive,relevant,1.0,neutral,-0.1865185648202896,negative,-0.1111111111111111,negative,-0.8567003477364779,negative,-0.4885,relevant|positive|archive,163.75
1024843738365841408,CASE_0484,archive,relevant,neutral,negative,relevant,-1.0,negative,-0.9372579827904701,negative,-0.05,negative,-0.5811427272856236,positive,0.25,relevant|negative|archive,166.27058823529413
1024856794798145536,CASE_0484,archive,relevant,neutral,neutral,relevant,0.0,negative,-0.9212159467861056,negative,-0.09523809523809523,negative,-0.5126686114817858,neutral,0.0,relevant|neutral|archive,168.6
